Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2020,243780,00182500,Purdue University-Main Campus,IN,1,,1,NCAA,19349,14220,33569,7,Football,117,,,,117,0,23484,2747669,0,0,2747669,,,,,,33013787,,33013787,,,,33013787,0,33013787,18822482,,18822482,,,,18822482,0,18822482
2020,186380,00262900,Rutgers University-New Brunswick,NJ,1,,1,NCAA,16836,16933,33769,7,Football,130,,,,130,0,28949,3763401,0,0,3763401,,,,,,35075181,,35075181,,,,35075181,0,35075181,35075181,,35075181,,,,35075181,0,35075181
2020,145637,00177500,University of Illinois Urbana-Champaign,IL,1,,1,NCAA,17129,14965,32094,7,Football,106,,,,106,0,22877,2424996,0,0,2424996,,,,,,41652159,,41652159,,,,41652159,0,41652159,21381418,,21381418,,,,21381418,0,21381418
2020,153658,00189200,University of Iowa,IA,1,,1,NCAA,9050,11105,20155,7,Football,130,,,,130,0,16423,2134933,0,0,2134933,,,,,,43491626,,43491626,,,,43491626,0,43491626,29536990,,29536990,,,,29536990,0,29536990
2020,163286,00210300,University of Maryland-College Park,MD,1,,1,NCAA,14500,13638,28138,7,Football,119,,,,119,0,17424,2073481,0,0,2073481,,,,,,31534043,,31534043,,,,31534043,0,31534043,20498932,,20498932,,,,20498932,0,20498932
2020,170976,00232500,University of Michigan-Ann Arbor,MI,1,,1,NCAA,14688,15125,29813,7,Football,144,,,,144,0,17179,2473734,0,0,2473734,,,,,,72253039,,72253039,,,,72253039,0,72253039,37380522,,37380522,,,,37380522,0,37380522
2020,174066,00396900,University of Minnesota-Twin Cities,MN,1,,1,NCAA,13253,15276,28529,7,Football,122,,,,122,0,19867,2423799,0,0,2423799,,,,,,45125727,,45125727,,,,45125727,0,45125727,24151147,,24151147,,,,24151147,0,24151147
2020,181464,00256500,University of Nebraska-Lincoln,NE,1,,1,NCAA,9689,9260,18949,7,Football,166,,,,166,0,16100,2672618,0,0,2672618,,,,,,51421857,,51421857,,,,51421857,0,51421857,22785686,,22785686,,,,22785686,0,22785686
2020,240444,00389500,University of Wisconsin-Madison,WI,1,,1,NCAA,14323,15663,29986,7,Football,112,,,,112,0,21607,2420026,0,0,2420026,,,,,,48559349,,48559349,,,,48559349,0,48559349,21077319,,21077319,,,,21077319,0,21077319
2019,151351,00180900,Indiana University-Bloomington,IN,1,,1,NCAA,16072,15806,31878,7,Football,119,,,,119,0,30999,3688935,0,0,3688935,,,,,,56453582,,56453582,,,,56453582,0,56453582,29373452,,29373452,,,,29373452,0,29373452
2019,171100,00229000,Michigan State University,MI,1,,1,NCAA,17461,18114,35575,7,Football,118,,,,118,0,71975,8493091,0,0,8493091,,,,,,68942427,,68942427,,,,68942427,0,68942427,43987682,,43987682,,,,43987682,0,43987682
2019,147767,00173900,Northwestern University,IL,1,,1,NCAA,4028,4216,8244,7,Football,115,,,,115,0,20812,2393337,0,0,2393337,,,,,,59510410,,59510410,,,,59510410,0,59510410,33092234,,33092234,,,,33092234,0,33092234
2019,204796,00309000,Ohio State University-Main Campus,OH,1,,1,NCAA,21770,20816,42586,7,Football,125,,,,125,0,63767,7970875,0,0,7970875,,,,,,115510031,,115510031,,,,115510031,0,115510031,52616230,,52616230,,,,52616230,0,52616230
2019,214777,00332900,Pennsylvania State University-Main Campus,PA,1,,1,NCAA,35954,30325,66279,7,Football,123,,,,123,0,83347,10251651,0,0,10251651,,,,,,101678317,,101678317,,,,101678317,0,101678317,50608202,,50608202,,,,50608202,0,50608202
2019,243780,00182500,Purdue University-Main Campus,IN,1,,1,NCAA,18755,13848,32603,7,Football,109,,,,109,0,43551,4747080,0,0,4747080,,,,,,51946990,,51946990,,,,51946990,0,51946990,23815344,,23815344,,,,23815344,0,23815344
2019,186380,00262900,Rutgers University-New Brunswick,NJ,1,,1,NCAA,17189,17044,34233,7,Football,122,,,,122,0,49338,6019251,0,0,6019251,,,,,,32874357,,32874357,,,,32874357,0,32874357,32874357,,32874357,,,,32874357,0,32874357
2019,145637,00177500,University of Illinois at Urbana-Champaign,IL,1,,1,NCAA,17294,15114,32408,7,Football,109,,,,109,0,24547,2675668,0,0,2675668,,,,,,65587081,,65587081,,,,65587081,0,65587081,26687666,,26687666,,,,26687666,0,26687666
2019,153658,00189200,University of Iowa,IA,1,,1,NCAA,9652,11440,21092,7,Football,128,,,,128,0,39590,5067556,0,0,5067556,,,,,,81421937,,81421937,,,,81421937,0,81421937,41688056,,41688056,,,,41688056,0,41688056
2019,163286,00210300,University of Maryland-College Park,MD,1,,1,NCAA,14602,13626,28228,7,Football,116,,,,116,0,23436,2718520,0,0,2718520,,,,,,44673149,,44673149,,,,44673149,0,44673149,21391499,,21391499,,,,21391499,0,21391499
2019,170976,00232500,University of Michigan-Ann Arbor,MI,1,,1,NCAA,14934,15123,30057,7,Football,147,,,,147,0,44451,6534308,0,0,6534308,,,,,,125773306,,125773306,,,,125773306,0,125773306,44684585,,44684585,,,,44684585,0,44684585
2019,174066,00396900,University of Minnesota-Twin Cities,MN,1,,1,NCAA,13559,15677,29236,7,Football,120,,,,120,0,57728,6927313,0,0,6927313,,,,,,61719121,,61719121,,,,61719121,0,61719121,34187250,,34187250,,,,34187250,0,34187250
2019,181464,00256500,University of Nebraska-Lincoln,NE,1,,1,NCAA,9941,9189,19130,7,Football,176,,,,176,0,27819,4896112,0,0,4896112,,,,,,95848584,,95848584,,,,95848584,0,95848584,31601463,,31601463,,,,31601463,0,31601463
2019,240444,00389500,University of Wisconsin-Madison,WI,1,,1,NCAA,14175,15575,29750,7,Football,117,,,,117,0,64886,7591636,0,0,7591636,,,,,,87408161,,87408161,,,,87408161,0,87408161,29316118,,29316118,,,,29316118,0,29316118
2018,151351,00180900,Indiana University-Bloomington,IN,1,,1,NCAA,16111,15889,32000,7,Football,122,,,,122,0,31070,3790527,0,0,3790527,,,,,,52577443,,52577443,,,,52577443,0,52577443,24216483,,24216483,,,,24216483,0,24216483
2018,171100,00229000,Michigan State University,MI,1,,1,NCAA,17360,18231,35591,7,Football,117,,,,117,0,77935,9118393,0,0,9118393,,,,,,75545976,,75545976,,,,75545976,0,75545976,33928232,,33928232,,,,33928232,0,33928232
2018,147767,00173900,Northwestern University,IL,1,,1,NCAA,3999,4131,8130,7,Football,118,,,,118,0,27606,3257490,0,0,3257490,,,,,,63246903,,63246903,,,,63246903,0,63246903,32136417,,32136417,,,,32136417,0,32136417
2018,204796,00309000,Ohio State University-Main Campus,OH,1,,1,NCAA,21881,20765,42646,7,Football,131,,,,131,0,65309,8555429,0,0,8555429,,,,,,115091304,,115091304,,,,115091304,0,115091304,60076743,,60076743,,,,60076743,0,60076743
2018,214777,00332900,Pennsylvania State University-Main Campus,PA,1,,1,NCAA,20781,18486,39267,7,Football,127,,,,127,0,81646,10369006,0,0,10369006,,,,,,100133983,,100133983,,,,100133983,0,100133983,48538956,,48538956,,,,48538956,0,48538956
2018,243780,00182500,Purdue University-Main Campus,IN,1,,1,NCAA,18331,13508,31839,7,Football,118,,,,118,0,42734,5042644,0,0,5042644,,,,,,54752462,,54752462,,,,54752462,0,54752462,27342141,,27342141,,,,27342141,0,27342141
2018,186380,00262900,Rutgers University-New Brunswick,NJ,1,,1,NCAA,16916,17065,33981,7,Football,118,,,,118,0,49573,5849587,0,0,5849587,,,,,,26698913,,26698913,,,,26698913,0,26698913,26698913,,26698913,,,,26698913,0,26698913
