year,team,games,win,loss,win_rate,surveyyear,footballteam,state,maleundergraduates,femaleundergraduates,totalundergraduates,participantsmenteam,operatingexpensesparticipantmenteam,operatingexpensesteammenteam,totaloperatingexpensesmenwomenteam,revenuesmenteam,expensesmenteam
2021,Indiana University-Bloomington,12,2,10,0.167,2021,Indiana University-Bloomington,IN,16570,16509,33079,132,56383,7442597,7442597,59883653,31678333
2021,University of Iowa,14,10,4,0.714,2021,University of Iowa,IA,8650,10994,19644,130,39010,5071245,5071245,86241489,49230193
2021,University of Maryland-College Park,13,7,6,0.538,2021,University of Maryland-College Park,MD,14315,14029,28344,121,43645,5281014,5281014,53153690,30801233
2021,University of Michigan-Ann Arbor,14,12,2,0.857,2021,University of Michigan-Ann Arbor,MI,14819,15835,30654,134,49933,6691048,6691048,131403198,52408534
2021,Michigan State University,13,11,2,0.846,2021,Michigan State University,MI,16732,18254,34986,115,36352,4180462,4180462,95112924,47456650
2021,University of Minnesota-Twin Cities,13,9,4,0.692,2021,University of Minnesota-Twin Cities,MN,13036,15539,28575,123,52214,6422370,6422370,72562005,38776350
2021,University of Nebraska-Lincoln,12,3,9,0.25,2021,University of Nebraska-Lincoln,NE,9238,9197,18435,155,28720,4451633,4451633,95852148,32957500
2021,Northwestern University,12,3,9,0.25,2021,Northwestern University,IL,3938,4474,8412,114,21662,2469518,2469518,58918531,32910340
2021,Ohio State University-Main Campus,13,11,2,0.846,2021,Ohio State University-Main Campus,OH,21474,21431,42905,127,55213,7012030,7012030,109176080,69127911
2021,Purdue University-Main Campus,13,9,4,0.692,2021,Purdue University-Main Campus,IN,20785,15087,35872,117,42496,4972040,4972040,62465667,24857827
2021,Rutgers University-New Brunswick,13,5,8,0.385,2021,Rutgers University-New Brunswick,NJ,17175,17186,34361,132,59662,7875379,7875379,43987227,43987227
2021,University of Wisconsin-Madison,13,9,4,0.692,2021,University of Wisconsin-Madison,WI,15022,16862,31884,119,43600,5188360,5188360,88651808,30560723
2022,Ohio State University-Main Campus,13,11,2,0.846,2022,Ohio State University-Main Campus,OH,20955,21231,42186,124,71594,8877664,8877664,127355183,72409506
2022,University of Michigan-Ann Arbor,14,13,1,0.929,2022,University of Michigan-Ann Arbor,MI,14705,16443,31148,141,68858,9708911,9708911,142767462,67697276
2022,Pennsylvania State University-Main Campus,13,11,2,0.846,2022,Pennsylvania State University-Main Campus,PA,21343,19132,40475,122,151000,18421956,18421956,114274945,57959743
2022,University of Maryland-College Park,13,8,5,0.615,2022,University of Maryland-College Park,MD,14029,13883,27912,120,42211,5065267,5065267,58514762,33999400
2022,Purdue University-Main Campus,14,8,6,0.571,2022,Purdue University-Main Campus,IN,21058,15417,36475,123,48707,5990926,5990926,59669043,31441226
2022,University of Minnesota-Twin Cities,13,9,4,0.692,2022,University of Minnesota-Twin Cities,MN,12956,15502,28458,111,61026,6773912,6773912,77214620,40312012
2022,University of Illinois at Urbana-Champaign,13,8,5,0.615,2022,University of Illinois at Urbana-Champaign,IL,17641,15632,33273,116,60562,7025206,7025206,70508218,35167388
2022,University of Wisconsin-Madison,13,7,6,0.538,2022,University of Wisconsin-Madison,WI,15600,17947,33547,121,50432,6102224,6102224,104160933,53898310
2022,Michigan State University,12,5,7,0.417,2022,Michigan State University,MI,17203,18669,35872,113,40714,4600735,4600735,73601571,49428661
2022,University of Nebraska-Lincoln,12,4,8,0.333,2022,University of Nebraska-Lincoln,NE,9015,9155,18170,153,36294,5553031,5553031,120840117,48692016
2022,Northwestern University,12,1,11,0.083,2022,Northwestern University,IL,3978,4610,8588,111,28984,3217229,3217229,70045075,38424149
